gene_id,gene_name,panessential,localisation,transmembrane,oncogenicity,tol_LOEUF,tractability_SM,safety
ENSG00000000003,TSPAN6,0,0.222222222222222,3,0,1,0,0
ENSG00000000419,DPM1,0,0.866666666666667,0,0,1,0,0
ENSG00000000457,SCYL3,0,1,0,0,0,0,0
ENSG00000000971,CFH,0,0,0,0,0,0.5,0
ENSG00000001036,FUCA2,0,0.654545454545455,0,0,1,1,0
ENSG00000001084,GCLC,0,1,0,2,0,1,-1
ENSG00000001167,NFYA,0,0,0,2,1,0,0
ENSG00000001461,NIPAL3,0,0,3,0,1,0,0
ENSG00000001497,LAS1L,-2,0.0967741935483871,0,0,0,0,0
ENSG00000001561,ENPP4,0,0.6875,3,0,1,0.5,0
ENSG00000001617,SEMA3F,0,0.666666666666666,0,0,0,0,0
ENSG00000001629,ANKIB1,0,1,0,0,0,0,0
ENSG00000001630,CYP51A1,0,1,3,0,2,3,0
ENSG00000001631,KRIT1,0,1.09523809523809,0,0,0,0.5,0
ENSG00000002330,BAD,0,1,0,2,3,2,-1
ENSG00000002549,LAP3,0,0.215686274509804,0,0,1,1,0
ENSG00000002586,CD99,0,1.42857142857143,3,0,1,0,0
ENSG00000002726,AOC1,0,0.59375,0,0,1,3,0
ENSG00000002834,LASP1,0,1,0,0,0,0,0
ENSG00000002919,SNX11,0,1,0,0,2,0.5,0
ENSG00000002933,TMEM176A,0,0,3,0,1,0,0
ENSG00000003056,M6PR,0,1.02702702702703,3,0,1,0,0
ENSG00000003096,KLHL13,0,1,0,0,1,1,0
ENSG00000003147,ICA1,0,1,0,0,1,0,0
ENSG00000003249,DBNDD1,0,1,0,0,3,0,0
ENSG00000003402,CFLAR,0,1.5,0,2,0,0,-1
ENSG00000003436,TFPI,0,1.14893617021277,0,0,1,0,0
ENSG00000003756,RBM5,0,0,0,0,0,0.5,0
ENSG00000003989,SLC7A2,0,2,3,0,2,0,0
ENSG00000004059,ARF5,0,0.416666666666667,0,2,0,0.5,0
ENSG00000004139,SARM1,0,1,0,0,2,1,0
ENSG00000004142,POLDIP2,0,0.934782608695652,0,0,0,0,0
ENSG00000004399,PLXND1,0,2,3,0,0,0.5,0
ENSG00000004455,AK2,-2,0.478260869565217,0,0,2,1,0
ENSG00000004478,FKBP4,0,0.368421052631579,0,2,1,2.5,0
ENSG00000004487,KDM1A,0,0,0,2,0,3,0
ENSG00000004534,RBM6,0,0,0,0,0,0,0
ENSG00000004700,RECQL,0,0.157894736842105,0,-2,2,1.5,0
ENSG00000004766,VPS50,0,0.547169811320755,0,0,0,0,0
ENSG00000004776,HSPB6,0,0.435897435897436,0,0,2,0,0
ENSG00000004779,NDUFAB1,-2,0.897435897435897,0,0,1,0.5,0
ENSG00000004799,PDK4,0,1,0,0,2,2,-1
ENSG00000004838,ZMYND10,0,1.5,0,0,1,0,0
ENSG00000004864,SLC25A13,0,1.16666666666667,3,0,2,0,0
ENSG00000004866,ST7,0,0,3,0,0,0,0
ENSG00000004897,CDC27,-2,0.272727272727273,0,2,0,0,0
ENSG00000004961,HCCS,0,1,0,0,0,0,0
ENSG00000005007,UPF1,-2,0.383333333333333,0,0,0,1.5,0
ENSG00000005020,SKAP2,0,0.750000000000001,0,0,1,0,0
ENSG00000005022,SLC25A5,-2,1,3,0,0,0,0
ENSG00000005075,POLR2J,-2,0,0,2,2,0.5,0
ENSG00000005156,LIG3,0,0.314285714285714,0,2,1,1.5,0
ENSG00000005175,RPAP3,-2,1,0,0,1,0.5,0
ENSG00000005194,CIAPIN1,-2,0.480769230769231,0,0,1,1,0
ENSG00000005206,SPPL2B,0,0.939655172413793,3,2,,0,0
ENSG00000005249,PRKAR2B,0,0.58695652173913,0,2,0,0,0
ENSG00000005339,CREBBP,0,0.257142857142857,0,3,0,2.5,0
ENSG00000005379,TSPOAP1,0,1,0,0,0,0,0
ENSG00000005469,CROT,0,1,0,0,2,0,0
ENSG00000005483,KMT2E,0,0.136363636363636,0,0,0,0,0
ENSG00000005486,RHBDD2,0,0.781818181818182,3,0,1,0,0
ENSG00000005513,SOX8,0,0.444444444444444,0,0,1,0,0
ENSG00000005700,IBTK,0,0.37037037037037,0,0,0,0,0
ENSG00000005810,MYCBP2,0,0.5,0,0,0,0.5,0
ENSG00000005812,FBXL3,0,0.285714285714286,0,0,0,0,0
ENSG00000005844,ITGAL,0,1.31034482758621,3,2,0,3,0
ENSG00000005882,PDK2,0,0.84,0,0,1,1.5,0
ENSG00000005884,ITGA3,0,1.59375,3,2,1,0,0
ENSG00000005889,ZFX,0,0,0,0,0,0,0
ENSG00000005893,LAMP2,0,0.915360501567398,3,0,1,0,0
ENSG00000006007,GDE1,0,1.30769230769231,3,0,2,0,0
ENSG00000006016,CRLF1,0,0.526315789473684,0,0,1,0,0
ENSG00000006042,TMEM98,0,0.545454545454546,3,0,1,0,0
ENSG00000006071,ABCC8,0,1.56,3,0,1,2,-1
ENSG00000006118,TMEM132A,0,0.619047619047619,3,0,1,0,0
ENSG00000006125,AP2B1,0,1.1505376344086,0,2,0,1,0
ENSG00000006194,ZNF263,0,0,0,0,1,0,0
ENSG00000006210,CX3CL1,0,0.666666666666666,3,2,1,0.5,0
ENSG00000006282,SPATA20,0,0,0,0,1,0,0
ENSG00000006327,TNFRSF12A,0,2,3,0,3,0,0
ENSG00000006451,RALA,0,0.955223880597016,0,2,0,1,0
ENSG00000006453,BAIAP2L1,0,0.36,0,2,1,0,0
ENSG00000006459,KDM7A,0,0,0,0,0,1,0
ENSG00000006576,PHTF2,0,1,3,0,1,0,0
ENSG00000006607,FARP2,0,1,0,0,2,0,0
ENSG00000006625,GGCT,0,0.294117647058824,0,0,2,1,0
ENSG00000006652,IFRD1,0,0.571428571428571,0,0,1,0,0
ENSG00000006704,GTF2IRD1,0,0.285714285714286,0,0,0,0,0
ENSG00000006712,PAF1,-2,0.0714285714285714,0,0,1,0,0
ENSG00000006715,VPS41,-2,1,0,0,1,0,0
ENSG00000006744,ELAC2,-2,0.679245283018868,0,0,2,0,0
ENSG00000006747,SCIN,0,0.25,0,2,3,1,0
ENSG00000006756,ARSD,0,1,0,0,1,0,0
ENSG00000006757,PNPLA4,0,1,0,0,2,0,0
